的,愿,协,砂,妥,摧,疵,丫,虱,僮
眼,罢,裁,滥,奴,螃,舱,淮,捎,鎯
满,呼,翔,措,颓,盯,柚,骁,皿,踫
念,划,填,么,嘎,馈,抨,咩,暄,弁
造,伟,奥,扭,趟,垄,葭,岑,躅,啣
军,岛,函,捉,揭,毓,枷,聿,吃,锟
精,歉,镇,碗,噹,犀,靥,吮,宥,芍
务,郭,丌,炉,剥,逞,硝,铳,埕,蕁
留,训,宽,脏,垦,姨,绚,癫,涣,擢
服,穿,颇,叔,狭,穆,绞,敖,怦,盹
六,详,枪,秘,魁,樵,缆,蜈,傧,听
图,沙,遥,腰,坊,阀,讪,钣,鲥,旸
收,督,穹,漠,盐,弥,褚,滂,迸,斡
舍,梅,啪,翅,屎,跷,砗,酉,釜,痍
半,顾,阅,余,郝,搁,嫣,刍,踯,忸
读,敌,锋,胶,佩,隙,蒲,谙,簑,轾
